127.0.0.1 - - [07/Jul/2015:00:59:42 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Jul/2015:00:59:49 +0530] "GET /library/mylib.html HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [07/Jul/2015:00:59:55 +0530] "GET /library/mylogin.html HTTP/1.1" 200 900
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:02:56 +0530] "GET /library/mylib.html HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:04:07 +0530] "GET /library/mylib.html HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:04:09 +0530] "GET /library/mylib.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:04:10 +0530] "GET /library/mylib.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:04:46 +0530] "GET /library/mylib.html HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:06:05 +0530] "GET /library/mylib.html HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:06:06 +0530] "GET /library/mylib.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:06:07 +0530] "GET /library/mylib.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:08:48 +0530] "GET /library/mylib.html HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:08:49 +0530] "GET /library/mylib.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:09:52 +0530] "GET /library/mylib.html HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:09:57 +0530] "GET /library/mylib.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:09:57 +0530] "GET /library/mylib.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:09:58 +0530] "GET /library/mylib.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:12:22 +0530] "GET /library/mylib.html HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:13:58 +0530] "GET /library/mylib.html HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:15:10 +0530] "GET /library/mylib.html HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:15:12 +0530] "GET /library/mylib.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:15:13 +0530] "GET /library/mylib.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:15:53 +0530] "GET /library/mylib.html HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:25:16 +0530] "GET /library/mylogin.html HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:26:23 +0530] "GET /library/mylogin.html HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:28:16 +0530] "GET /library/mylogin.html HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:31:00 +0530] "GET /library/mylogin.html HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:32:12 +0530] "GET /library/mylogin.html HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:32:13 +0530] "GET /library/mylogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:32:15 +0530] "GET /library/mylogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:33:47 +0530] "GET /library/mylogin.html HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:33:58 +0530] "GET /library/mylogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:35:58 +0530] "GET /library/mylogin.html HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:36:47 +0530] "GET /library/mylogin.html HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:37:50 +0530] "POST /library/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:37:51 +0530] "GET /library/admlog1.jsp HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:38:01 +0530] "GET /library/admlog.html HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:38:10 +0530] "GET /library/view2.jsp HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:38:17 +0530] "POST /library/myupdate1.jsp HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:38:17 +0530] "POST /library/myupdate1.jsp HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:40:10 +0530] "GET /library/mylogin.html HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:40:10 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:40:10 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:40:15 +0530] "GET /library/mylogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:40:16 +0530] "GET /library/mylogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:40:17 +0530] "GET /library/mylogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:40:20 +0530] "GET /library/registration.html HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:43:15 +0530] "GET /library/mylib.html HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:43:47 +0530] "GET /library/registration.html HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:43:52 +0530] "GET /library/registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:43:53 +0530] "GET /library/registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:46:26 +0530] "GET /library/registration.html HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:46:27 +0530] "GET /library/registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:46:28 +0530] "GET /library/registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:47:51 +0530] "GET /library/registration.html HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:49:30 +0530] "GET /library/registration.html HTTP/1.1" 200 786
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:52:12 +0530] "GET /library/registration.html HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:53:12 +0530] "GET /library/registration.html HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:53:13 +0530] "GET /library/registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:53:50 +0530] "GET /library/registration.html HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:54:13 +0530] "POST /library/signup HTTP/1.1" 500 1583
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:55:00 +0530] "GET /library/connect1.jsp HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:55:54 +0530] "GET /library/connect1.jsp HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:55:55 +0530] "GET /library/connect1.jsp HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:55:55 +0530] "GET /library/connect1.jsp HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:56:20 +0530] "GET /library/connect1.jsp HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:56:24 +0530] "GET /library/connect1.jsp HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [07/Jul/2015:01:56:25 +0530] "GET /library/connect1.jsp HTTP/1.1" 200 155
